Day,Time,Currency,Impact,Event,Actual,Forecast,Previous,SourceURL
20110818,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=aug.2011
20110818,8:30am,USD,3,CPI y/y,3.6%,3.4%,3.6%,https://www.forexfactory.com/calendar?month=aug.2011
20110914,8:30am,USD,3,PPI m/m,0.0%,-0.1%,0.2%,https://www.forexfactory.com/calendar?month=sep.2011
20110915,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=sep.2011
20110915,8:30am,USD,3,CPI y/y,3.8%,3.6%,3.6%,https://www.forexfactory.com/calendar?month=sep.2011
20111018,8:30am,USD,3,PPI m/m,0.8%,0.2%,0.0%,https://www.forexfactory.com/calendar?month=oct.2011
20111019,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=oct.2011
20111019,8:30am,USD,3,CPI y/y,3.9%,3.8%,3.8%,https://www.forexfactory.com/calendar?month=oct.2011
20111115,8:30am,USD,3,PPI m/m,-0.3%,-0.1%,0.8%,https://www.forexfactory.com/calendar?month=nov.2011
20111116,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=nov.2011
20111116,8:30am,USD,3,CPI y/y,3.5%,3.7%,3.9%,https://www.forexfactory.com/calendar?month=nov.2011
20111215,8:30am,USD,3,PPI m/m,0.3%,0.3%,-0.3%,https://www.forexfactory.com/calendar?month=dec.2011
20111216,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=dec.2011
20111216,8:30am,USD,3,CPI y/y,3.4%,3.5%,3.5%,https://www.forexfactory.com/calendar?month=dec.2011
20120118,8:30am,USD,3,PPI m/m,-0.1%,0.1%,0.3%,https://www.forexfactory.com/calendar?month=jan.2012
20120119,8:30am,USD,3,Core CPI m/m,0.1%,0.1%,0.2%,https://www.forexfactory.com/calendar?month=jan.2012
20120119,8:30am,USD,3,CPI y/y,3.0%,3.0%,3.4%,https://www.forexfactory.com/calendar?month=jan.2012
20120216,8:30am,USD,3,PPI m/m,0.1%,0.3%,-0.1%,https://www.forexfactory.com/calendar?month=feb.2012
20120217,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=feb.2012
20120217,8:30am,USD,3,CPI y/y,2.9%,2.8%,3.0%,https://www.forexfactory.com/calendar?month=feb.2012
20120315,8:30am,USD,3,PPI m/m,0.4%,0.5%,0.1%,https://www.forexfactory.com/calendar?month=mar.2012
20120316,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=mar.2012
20120316,8:30am,USD,3,CPI y/y,2.9%,2.8%,2.9%,https://www.forexfactory.com/calendar?month=mar.2012
20120412,8:30am,USD,3,PPI m/m,0.0%,0.3%,0.4%,https://www.forexfactory.com/calendar?month=apr.2012
20120413,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=apr.2012
20120413,8:30am,USD,3,CPI y/y,2.7%,2.7%,2.9%,https://www.forexfactory.com/calendar?month=apr.2012
20120511,8:30am,USD,3,PPI m/m,-0.2%,0.0%,0.0%,https://www.forexfactory.com/calendar?month=may.2012
20120515,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=may.2012
20120515,8:30am,USD,3,CPI y/y,2.3%,2.3%,2.7%,https://www.forexfactory.com/calendar?month=may.2012
20120613,8:30am,USD,3,PPI m/m,-1.0%,-0.6%,-0.2%,https://www.forexfactory.com/calendar?month=jun.2012
20120614,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=jun.2012
20120614,8:30am,USD,3,CPI y/y,1.7%,1.8%,2.3%,https://www.forexfactory.com/calendar?month=jun.2012
20120713,8:30am,USD,3,PPI m/m,0.1%,-0.5%,-1.0%,https://www.forexfactory.com/calendar?month=jul.2012
20120717,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=jul.2012
20120717,8:30am,USD,3,CPI y/y,1.7%,1.6%,1.7%,https://www.forexfactory.com/calendar?month=jul.2012
20120814,8:30am,USD,3,PPI m/m,0.3%,0.3%,0.1%,https://www.forexfactory.com/calendar?month=aug.2012
20120815,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=aug.2012
20120815,8:30am,USD,3,CPI y/y,1.4%,1.7%,1.7%,https://www.forexfactory.com/calendar?month=aug.2012
20120913,8:30am,USD,3,PPI m/m,1.7%,1.1%,0.3%,https://www.forexfactory.com/calendar?month=sep.2012
20120914,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=sep.2012
20120914,8:30am,USD,3,CPI y/y,1.7%,1.7%,1.4%,https://www.forexfactory.com/calendar?month=sep.2012
20121012,8:30am,USD,3,PPI m/m,1.1%,0.8%,1.7%,https://www.forexfactory.com/calendar?month=oct.2012
20121016,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=oct.2012
20121016,8:30am,USD,3,CPI y/y,2.0%,2.0%,1.7%,https://www.forexfactory.com/calendar?month=oct.2012
20121114,8:30am,USD,3,PPI m/m,-0.2%,0.2%,1.1%,https://www.forexfactory.com/calendar?month=nov.2012
20121115,8:30am,USD,3,Core CPI m/m,0.2%,0.1%,0.1%,https://www.forexfactory.com/calendar?month=nov.2012
20121115,8:30am,USD,3,CPI y/y,2.2%,2.1%,2.0%,https://www.forexfactory.com/calendar?month=nov.2012
20121213,8:30am,USD,3,PPI m/m,-0.8%,-0.5%,-0.2%,https://www.forexfactory.com/calendar?month=dec.2012
20121214,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.2%,https://www.forexfactory.com/calendar?month=dec.2012
20121214,8:30am,USD,3,CPI y/y,1.8%,1.9%,2.2%,https://www.forexfactory.com/calendar?month=dec.2012
20130115,8:30am,USD,3,PPI m/m,-0.2%,-0.1%,-0.8%,https://www.forexfactory.com/calendar?month=jan.2013
20130116,8:30am,USD,3,Core CPI m/m,0.1%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=jan.2013
20130116,8:30am,USD,3,CPI y/y,1.7%,1.8%,1.8%,https://www.forexfactory.com/calendar?month=jan.2013
20130220,8:30am,USD,3,PPI m/m,0.2%,0.3%,-0.2%,https://www.forexfactory.com/calendar?month=feb.2013
20130221,8:30am,USD,3,Core CPI m/m,0.3%,0.2%,0.1%,https://www.forexfactory.com/calendar?month=feb.2013
20130221,8:30am,USD,3,CPI y/y,1.6%,1.7%,1.7%,https://www.forexfactory.com/calendar?month=feb.2013
20130314,8:30am,USD,3,PPI m/m,0.7%,0.7%,0.2%,https://www.forexfactory.com/calendar?month=mar.2013
20130315,8:30am,USD,3,Core CPI m/m,0.2%,0.2%,0.3%,https://www.forexfactory.com/calendar?month=mar.2013
